id,cleaned_name
5567cd527369643981050000,government administration
5567cdb373696439dd540000,online media
5567e0bc7369641d11550200,investment management
5567cd4f7369644d2d010000,farming
5567cdd973696439a1370000,writing & editing
5567e1327369641d91ce0300,textiles
5567ce2773696454308f0000,mental health care
5567cdd97369645430680000,primary/secondary education
5567e0f973696416d34e0200,broadcast media
5567d08e7369645dbc4b0000,biotechnology
5567e0c97369640d2b3b1600,information services
5567ce9c7369644eed680000,international trade & development
5567cdd7736964540d130000,motion pictures & film
5567e1947369641ead570000,consumer electronics
5567ce237369644ee5490000,banking
5567ce9d7369645430c50000,import & export
5567e1337369641ad2970000,industrial automation
5567e134736964214f5e0000,recreational facilities & services
5567e0af7369641ec7300000,performing arts
5567e2127369642420170000,utilities
5567e113736964198d5e0800,sporting goods
5567e2097369642420150000,fine art
5567e0bf7369641d115f0200,airlines/aviation
5567cd877369644cf94b0000,computer & network security
5567cd8273696439b1240000,maritime
5567cda97369644cfd3e0000,luxury goods & jewelry
5567ce9673696439d5c10000,veterinary
5567e1587369641c48370000,venture capital & private equity
5567cd4d7369643b78100000,wine & spirits
5567cdda7369644cf95d0000,plastics
5567e0dd73696416d3c20100,aviation & aerospace
5567e1887369641d68d40100,commercial real estate
5567cd8b736964540d0f0000,computer games
5567e36973696431a4480000,packaging & containers
5567e09473696410dbf00700,executive office
5567e0d47369641233eb0600,computer hardware
5567cdbe7369643b78360000,computer networking
5567e1387369641ec75d0200,market research
5567d04173696457ee520000,outsourcing/offshoring
5567e2907369642433e60200,program development
5567e1097369641d91230300,translation & localization
5567ce9673696453d99f0000,philanthropy
5567cd4a7369643ba9010000,public safety
5567e27c7369642ade490000,alternative medicine
5567e15373696422aa0a0000,museums & institutions
5567e127736964181e700200,warehousing
5567e1097369641b5f810500,defense & space
5567cd4a73696439a9010000,newspapers
5567e97f7369641e57730100,paper & forest products
5567e0e073696408da441e00,law enforcement
5567e1ab7369641f6d660100,investment banking
5567e29b736964256c370100,government relations
5567d2ad7261697f2b1f0100,fund-raising
5567e1de7369642069ea0100,think tanks
5567cd4f736964397e030000,"glass, ceramics & concrete"
5567cdb773696439a9080000,capital markets
5567e0d87369640e5aa30c00,semiconductors
5567e36f73696431a4970000,animation
5567e25f736964256cff0000,political organization
5567e8bb7369641a658f0000,package/freight delivery
5567e3ca736964371b130000,wireless
5567e3657369642f4ec90000,international affairs
5567e28a7369642ae2500000,public policy
556808697369647bfd420000,libraries
5567e0cf7369641233e50600,gambling & casinos
5567e14673696416d38c0300,railroad manufacture
5567fd5a73696442b0f20000,ranching
5567e2c572616932bb3b0000,military
5567f96c7369642a22080000,fishery
5567e2a97369642a553d0000,supermarkets
5567e8a27369646ddb0b0000,dairy
55680085736964551e070000,tobacco
5568047d7369646d406c0000,shipbuilding
55680a8273696407b61f0000,judiciary
5567e1a87369641f6d550100,alternative dispute resolution
5567e7be736964110e210000,nanotechnology
55718f947369642142b84a12,agriculture
5567e1797369641c48c10100,legislative office
